#{"t_start": 1646496003.4753594, "env_id": "LunarLander-v2"}
r,l,t
-170.984372,139,108.888155
-8.534053,251,109.161112
-181.420424,127,109.287775
78.291523,163,109.454479
-3.060426,237,109.694601
-50.510012,113,109.806009
14.192999,178,109.98862
-6.528893,209,110.206821
225.290371,293,110.525642
-50.208909,155,110.683862
253.968437,234,110.942039
268.372446,246,111.209549
266.100437,274,111.494583
6.990205,268,111.793623
-28.257244,246,112.043794
218.347669,392,112.550853
24.872664,192,112.749258
5.583927,198,112.956712
248.691356,311,113.324746
249.336742,274,113.608994
30.530201,179,113.796791
-48.755507,110,113.909496
47.405411,199,114.123886
-33.951222,111,114.257538
-156.261495,157,114.434719
-13.83601,175,114.615788
284.770278,460,115.177242
68.194541,219,115.401642
-1.713932,285,115.741631
6.976064,300,116.076702
-20.688688,239,116.333016
16.930162,214,116.560408
-7.624232,174,116.743917
72.382619,153,116.894549
0.197877,192,117.088924
-46.265455,221,117.315356
1.697126,155,117.469677
8.576387,161,117.631664
239.90497,309,118.008931
6.137519,152,118.166504
7.560735,157,118.33207
265.690895,308,118.68021
19.81047,210,118.913168
-27.653256,263,119.197685
12.670605,215,119.430277
10.052134,235,119.672857
209.171281,326,120.06089
20.638078,162,120.216511
46.612991,146,120.365113
43.826695,157,120.523726
31.155598,172,120.695307
53.344122,184,120.904622
241.582033,353,121.359405
34.401308,189,121.560867
-48.428939,115,121.676751
26.290081,261,121.954049
20.153948,272,122.25022
22.132833,247,122.514513
37.060916,271,122.819548
25.280019,279,123.124668
40.619973,218,123.357594
43.720103,300,123.689281
31.19989,273,123.989882
43.440977,237,124.238838
-0.996726,300,124.585418
25.523316,187,124.781894
42.20216,213,125.002184
37.964192,125,125.127851
34.082133,270,125.413904
-6.479136,229,125.650932
-21.257854,203,125.862611
43.525903,168,126.030981
39.382234,165,126.199387
6.061514,179,126.386427
54.454579,176,126.56495
62.163564,189,126.765685
28.468075,248,127.054666
63.419834,301,127.384006
-30.216001,212,127.612411
49.735852,226,127.849855
21.348512,256,128.137153
30.472602,271,128.427411
-27.500987,246,128.700724
10.41256,167,128.87269
68.392814,167,129.048089
18.265175,257,129.328882
31.333249,186,129.517793
-25.548445,274,129.84221
49.951699,170,130.015677
-12.155182,241,130.281
-6.92858,253,130.557284
-15.302503,222,130.796462
45.467468,167,130.970579
35.818136,164,131.136603
-18.83628,282,131.439581
-20.170158,254,131.703035
-23.003106,236,131.954078
30.68611,155,132.107667
41.146432,137,132.243312
37.4323,173,132.42083
-32.568663,300,132.751611
-66.038569,209,132.964297
42.700648,94,133.056358
-37.768955,166,133.219376
54.94248,179,133.408765
-20.89485,174,133.584634
54.922406,177,133.770138
54.584314,211,133.986648
24.665224,293,134.307048
-31.725573,217,134.536645
-7.850986,176,134.715687
-63.910693,159,134.884821
-47.099336,169,135.056935
-68.394811,162,135.215218
-23.862616,151,135.363396
-40.477379,154,135.516252
-56.502124,115,135.625959
23.204083,157,135.780643
-68.115356,144,135.919612
21.215125,145,136.060622
-79.708032,110,136.164891
14.363942,110,136.266923
-35.366124,88,136.355982
-51.744558,115,136.466998
-13.158832,113,136.576047
19.289181,99,136.673095
-75.441368,132,136.798772
-83.673472,109,136.902502
-95.770847,116,137.009215
-65.001114,133,137.133877
-79.639751,111,137.240591
-15.009856,164,137.404383
-86.856118,107,137.505418
-87.290225,118,137.616442
-76.174611,155,137.770303
-76.479426,119,137.893006
-52.90867,90,137.978747
-10.231488,128,138.10458
-107.498641,145,138.257421
-66.567549,208,138.480618
-148.903673,245,138.744754
-170.737708,248,139.027618
-164.366026,193,139.223954
-85.807538,150,139.374552
-191.353647,226,139.605376
-98.352532,246,139.859376
-58.269983,190,140.054923
-133.412103,217,140.278326
-108.752366,299,140.625596
-107.815741,378,141.06283
-131.087174,463,141.661199
-124.458725,725,142.826944
