#{"t_start": 1646582168.209853, "env_id": "LunarLander-v2"}
r,l,t
-277.530576,217,13.228919
-270.710155,362,13.570845
-156.389689,1000,14.917867
-127.17193,1000,16.841799
-183.682115,1000,18.084816
-179.931955,1000,19.42891
-128.575761,1000,20.597709
-140.978004,1000,22.697044
-111.079323,1000,24.452864
-83.364288,1000,26.368836
-78.210166,1000,27.946855
-81.463441,1000,30.000866
-121.885604,1000,32.173855
-92.349872,1000,33.858855
-81.387414,1000,35.479992
-166.310743,332,35.79486
-84.84079,1000,37.287877
-62.729966,181,37.435786
-131.083255,1000,39.096003
-128.154083,1000,41.117669
-122.148675,1000,43.351527
-89.037761,1000,45.187118
-116.095668,1000,46.779952
-94.8011,1000,48.325289
-91.77718,1000,49.843892
-211.18639,190,50.010952
-103.651831,1000,51.553892
-235.44172,179,51.706991
-98.106347,1000,53.742174
-168.941208,171,53.886304
-102.025083,1000,56.023159
-146.709454,1000,58.20998
-19.79557,208,58.402818
-116.752877,1000,60.660568
-94.160048,1000,62.266769
-381.458193,169,62.419869
-97.856199,1000,64.920499
-95.655788,1000,66.945319
-109.724836,1000,69.242847
-258.137109,169,69.378989
-109.259209,1000,71.442125
-321.619344,172,71.5693
-68.936267,232,71.781243
-334.029428,294,72.051029
-404.033212,169,72.194165
-109.744323,1000,75.028272
-122.899467,1000,77.035983
-116.900316,1000,79.473636
-127.944593,224,79.673116
-362.402623,174,79.810261
-251.09335,167,79.951886
-202.404375,172,80.085041
-179.733029,186,80.247123
-128.536694,1000,82.161014
-132.699438,1000,83.763807
-333.984481,175,83.918741
-98.171899,1000,86.060835
-129.105144,1000,88.021818
-132.322081,1000,90.451842
-97.987292,1000,91.912819
-59.283388,197,92.092784
-161.531719,1000,94.307253
-33.852654,202,94.481315
-116.41165,1000,96.280852
-277.222278,379,96.676836
-107.723921,1000,98.091945
-238.330779,179,98.245813
-135.850306,1000,100.038871
-93.3521,1000,102.168866
-103.624194,1000,103.809857
3.438806,274,104.048815
-49.882751,195,104.208849
-129.55214,1000,106.386837
-147.446885,1000,108.306796
-113.354169,1000,110.36582
-123.659504,1000,112.259813
-106.161761,1000,114.414857
-212.090059,241,114.63781
-121.29018,1000,116.744965
-119.538462,1000,118.417099
-129.93042,1000,120.084797
-305.201405,267,120.354486
-93.575391,1000,122.091772
-71.875472,1000,123.736765
-114.05628,1000,125.848521
-105.64137,1000,127.273871
-143.760288,1000,128.732848
-95.860727,1000,130.260853
-64.397006,390,130.69294
-121.519647,1000,132.968326
-127.478282,1000,134.986806
-158.753433,1000,136.775947
-90.931239,1000,138.295868
-115.23164,1000,140.250012
-126.061641,1000,141.826837
-82.316412,1000,143.587833
-139.062807,1000,145.531831
-119.803858,1000,147.547647
-80.356322,1000,149.04786
-91.691046,1000,150.598727
-146.26263,1000,152.45483
-119.755031,1000,154.588796
-139.076806,1000,156.280845
-130.208542,1000,158.322851
-108.300484,1000,160.203531
-135.422527,1000,162.073713
-128.906863,1000,164.261746
-144.705977,1000,166.373851
-148.455412,1000,168.87236
-125.535393,1000,171.177863
-94.889716,1000,173.34984
-146.685685,1000,175.095834
-95.937043,1000,176.708797
-136.180949,1000,178.965829
-155.254031,1000,180.393852
-112.560737,1000,182.134804
-136.83066,1000,184.112844
-111.111813,1000,186.060837
-120.013525,1000,188.288839
-86.472397,1000,190.431849
-160.825923,1000,192.563015
-101.873295,1000,194.170852
-100.000642,1000,195.439849
-105.209103,1000,196.679824
-96.024496,1000,198.640722
-148.066728,1000,200.135808
-119.202792,1000,202.069845
-118.983719,1000,203.99885
-126.703974,1000,205.900866
-93.295687,1000,207.841849
-93.503545,1000,209.915823
-144.645742,1000,211.805876
-92.266801,1000,213.687145
-150.114657,1000,215.786091
-142.782876,1000,217.779038
-88.355263,1000,219.770883
-94.62837,1000,221.989692
-117.836051,1000,224.631009
-106.881849,1000,226.827054
-126.453939,1000,228.797828
-105.465396,1000,230.826337
-99.943191,1000,232.464319
-125.563703,1000,234.435806
-119.42905,1000,236.116811
-70.53718,1000,239.042988
-114.848755,1000,241.274789
-122.668967,1000,243.030404
-60.027138,1000,244.650436
-134.361693,1000,246.404823
-85.412567,1000,248.0328
-92.837599,1000,249.73385
-89.767971,1000,251.51883
-79.315625,1000,252.870788
-153.972256,1000,254.955782
-117.72767,1000,256.684869
-131.472444,1000,258.070795
-116.192024,1000,259.885039
-72.10899,1000,261.999851
-144.590544,1000,263.582844
-71.586559,1000,264.988887
-141.03585,1000,266.664773
-58.640568,1000,268.214081
-156.567668,1000,270.075799
-144.189913,1000,271.953038
-97.117975,1000,273.843905
-128.654215,1000,275.925221
-133.867496,1000,277.873016
-129.832098,1000,279.287308
-93.82274,1000,280.521392
-66.457257,1000,282.357685
-76.936797,1000,283.561929
-124.771494,1000,285.660792
-133.613395,1000,287.655819
-106.24405,1000,289.265815
-150.239883,1000,291.231036
-108.109525,1000,293.423849
-141.223299,1000,295.579847
-93.18238,1000,298.366457
-118.809008,1000,299.940854
-151.67943,986,301.682055
-109.243209,1000,303.74886
-115.914247,1000,305.41986
-133.70335,1000,307.897858
-74.649311,1000,310.598821
-116.635571,1000,313.061598
-108.90633,1000,315.019842
123.711067,905,317.177823
-102.659432,1000,319.289826
-91.331734,1000,321.390634
21.65122,1000,323.089838
-74.392147,1000,324.998875
-62.130452,619,325.847847
7.266952,1000,328.052789
-94.394428,1000,329.833819
-85.257065,1000,331.388869
-127.513467,1000,332.807812
-53.899826,1000,334.410288
-67.49691,1000,336.876815
-82.203014,1000,338.837876
-94.673057,1000,340.736686
-140.111309,1000,342.960834
-123.163465,1000,344.562781
-117.711843,1000,345.978261
-146.374389,1000,347.446831
-146.154373,1000,348.817739
-156.580848,1000,350.928323
-86.308608,1000,353.355834
-145.395701,1000,355.006047
-51.855154,1000,356.335757
-75.802755,1000,358.191766
-104.906205,1000,359.783778
-55.897562,1000,361.532011
-89.116415,1000,363.141793
-72.713818,1000,364.652812
-66.010126,1000,366.450821
-93.848254,1000,368.649037
-2.663825,1000,370.768795
-114.841242,1000,373.076801
137.362355,948,375.26584
-44.444754,1000,377.057768
-39.611397,1000,380.405052
18.661294,310,380.824974
-103.04167,1000,382.982871
52.781747,1000,385.1898
-37.097667,1000,387.062788
-48.103786,1000,389.332784
-81.911907,1000,390.991826
-91.388731,1000,392.858327
-74.335872,1000,395.57679
-40.187429,1000,397.262823
-152.811862,991,399.266809
-100.394644,1000,401.403806
-64.433978,1000,404.200838
-77.392179,1000,406.161804
-15.585937,1000,408.48578
-44.163999,1000,410.399799
-97.382012,1000,412.988748
-16.258989,204,413.173947
-52.765105,1000,414.906834
7.800823,1000,416.392799
-89.61746,873,418.287773
-31.279715,1000,420.778312
41.850924,1000,422.948854
-126.198029,1000,424.468823
-236.977198,898,425.549772
35.875113,1000,427.137798
-68.655147,1000,428.927746
-52.471643,663,429.736793
140.753349,967,431.481787
-103.935103,1000,433.369787
34.174757,1000,435.420789
146.729046,868,436.753791
185.290894,775,438.105789
-51.416887,1000,440.029764
-212.064724,913,441.557117
55.638416,1000,443.17791
-102.99599,751,444.310821
-53.66401,1000,446.692997
-53.438598,1000,448.217032
33.893201,1000,450.459823
146.806836,910,452.353434
14.515916,1000,454.162765
160.215415,723,455.211795
47.045714,1000,457.433821
167.621135,903,459.317785
-82.568856,718,460.66679
77.840297,1000,462.250828
-75.884825,1000,464.737787
-35.915473,1000,466.8588
129.591687,961,468.786776
228.359734,585,469.523797
-12.227573,1000,470.95278
-3.789913,1000,472.798024
-55.042589,1000,475.400779
138.999741,573,476.302908
81.88187,1000,478.227782
173.528391,951,479.703811
174.921207,821,481.540796
214.358909,585,482.480694
207.388602,529,483.2127
-204.07355,806,484.388011
-50.55474,1000,486.158253
166.184923,968,488.495798
-28.017942,1000,491.100731
-76.945668,1000,493.3678
-93.444401,526,494.126819
146.790662,909,496.044255
213.381058,617,497.1218
175.382392,865,498.651895
132.459586,999,500.778966
-140.493593,835,501.820048
152.86607,744,502.895013
195.521744,690,504.110718
193.3121,650,505.131779
-37.657805,1000,506.959812
249.076219,522,507.603747
78.060593,992,509.903748
97.230156,827,511.572185
245.532026,438,511.992582
239.540771,511,512.601953
155.844678,830,513.983818
176.461141,849,515.524788
94.515733,889,516.821695
-75.675114,600,517.653869
-44.883919,1000,519.603592
254.169084,607,520.438089
183.533212,829,521.929978
231.122728,732,523.039756
-49.433248,1000,524.565764
219.464224,375,524.996731
219.123637,569,525.568808
144.552011,980,527.563788
111.424023,957,529.061933
142.124107,776,530.351759
142.700172,874,532.101964
202.125095,714,533.251783
-70.149388,1000,534.960885
188.435555,658,536.017985
213.061623,595,536.950713
88.202062,944,539.236722
-141.5674,756,540.484678
-81.641455,1000,542.359199
-137.712836,817,543.903919
-40.204701,1000,545.660108
129.860767,936,547.876793
142.627338,860,549.694609
-68.042123,742,550.983681
235.279278,671,551.844784
-45.868281,1000,553.942716
-95.088426,447,554.635756
-59.949949,500,555.28479
-29.406974,224,555.516952
27.431609,1000,557.481733
107.597167,770,558.924787
184.287118,725,560.009808
-30.261359,1000,562.422764
-38.241321,1000,564.649811
37.978214,978,566.897752
139.940839,706,567.915902
234.834565,535,568.811768
119.483652,674,570.115747
-165.208149,793,571.804717
-91.931764,1000,573.703791
172.340166,757,575.015808
-97.528033,1000,576.412786
251.349289,568,577.24266
-138.842205,687,578.293946
97.056396,964,580.618782
160.226534,739,582.01575
237.706979,366,582.503849
-127.161692,638,583.745891
164.186273,903,585.638745
190.763656,638,586.560779
191.219225,620,587.519744
257.951199,460,588.078857
213.310192,624,589.10179
-135.584069,792,590.467763
-106.333041,1000,592.45982
-57.354523,1000,593.655735
-34.990868,310,593.945715
141.354204,805,595.244712
193.552087,702,596.058878
-40.376577,225,596.266755
176.401025,416,596.719772
-82.26907,1000,598.382157
-71.722204,1000,599.797532
183.385023,745,600.940476
-83.452434,1000,602.332827
-86.487404,1000,603.821649
178.775954,702,604.919678
210.873671,584,605.608271
-21.963086,1000,606.86481
169.83043,930,608.396758
141.109443,890,609.747736
248.041625,301,610.018783
134.153193,848,611.17373
134.850477,788,612.644638
-14.25693,95,612.733604
-41.539273,290,613.057669
-102.204743,564,614.142387
193.471214,442,614.644172
209.549802,579,615.711377
114.241068,849,617.440786
-21.105713,260,617.715427
6.990745,1000,620.156755
-122.25298,741,621.350742
