#{"t_start": 1646496712.6493132, "env_id": "LunarLander-v2"}
r,l,t
181.137847,464,150.04096
175.261807,589,150.670617
159.894488,544,151.208704
-29.041399,321,151.422031
184.952293,455,152.655105
-74.1501,431,152.997151
182.837646,611,153.583159
224.570802,435,153.973161
198.949351,562,155.409156
148.721562,581,156.001146
192.61911,610,156.563165
-83.277594,480,157.035161
206.117853,531,158.646169
202.548262,501,159.034133
190.058008,526,159.531168
169.294247,807,161.419523
180.111213,534,161.940113
189.63399,567,162.617018
212.415328,534,163.219181
-86.51891,391,164.307157
153.36547,738,164.992107
-96.357465,455,165.449144
-97.399535,442,165.782106
-74.224719,542,167.231139
164.569986,664,167.931109
132.224834,561,168.502087
-111.583927,472,169.7441
-76.314596,464,170.114161
204.010954,592,170.622131
216.963155,519,171.067154
145.147019,576,172.394598
184.536949,502,172.905232
206.968508,505,173.375973
157.501731,552,173.867651
-113.21063,454,175.090356
-83.855987,427,175.465068
112.927945,852,176.257722
146.417466,796,177.86514
110.790813,622,178.410087
-75.617148,445,178.769145
-75.721582,382,179.037152
20.934111,361,179.295155
18.071078,354,180.346123
-67.229909,395,180.725985
-27.022787,390,181.010169
235.766368,416,181.328125
-86.577099,356,181.592165
-174.552316,681,183.054157
9.219374,1000,184.651169
138.620617,730,186.059154
-92.708416,335,186.306146
145.652294,549,186.859242
-114.746683,482,187.237125
234.036337,443,187.716159
-63.803828,390,188.894071
-77.666642,374,189.18914
-12.768474,331,189.398147
203.994474,441,189.74914
204.644594,436,190.092471
-107.197569,420,191.294094
-59.969773,318,191.502896
158.185131,508,192.006156
-20.392992,335,192.240166
-151.151265,659,193.815124
244.368962,379,194.115124
-68.32709,335,194.352144
212.618806,381,194.667149
-106.427104,523,195.159984
-123.420812,578,196.609127
222.625688,338,196.848114
-20.577137,238,196.994861
-101.935351,471,197.376149
-5.219042,168,197.47515
119.152134,582,198.089443
118.498489,1000,199.79316
-61.269735,576,200.203161
-22.722847,339,200.43313
-174.812288,591,201.865154
235.557778,375,202.16615
61.403998,951,203.105157
-113.502591,633,204.607153
-33.670617,291,204.815017
118.946939,614,205.418057
204.293869,510,205.938145
172.10827,626,207.304124
208.886773,449,207.737115
-24.79986,414,208.030162
190.857427,540,208.502101
132.104397,543,209.851793
176.563905,515,210.345093
