#{"t_start": 1645662458.9154193, "env_id": "LunarLander-v2"}
r,l,t
15.276083,1000,103.16289
195.804679,535,103.636748
195.628565,489,104.017598
78.288252,1000,105.6857
13.460575,383,105.986639
216.977256,390,106.242604
172.077932,537,106.785665
184.832695,496,108.05469
230.088149,476,108.396617
188.024306,562,108.945598
246.287711,414,109.281616
225.138186,470,110.43317
-41.510405,1000,111.474447
189.84283,574,112.057616
-46.42964,339,113.044654
183.870368,629,113.589792
-91.512497,622,114.108229
235.86732,448,114.464533
-94.403928,561,115.815614
251.175851,374,116.055621
-212.743892,743,116.588617
-45.973848,423,116.905654
204.189768,459,117.969642
-9.475704,326,118.187124
-10.608425,273,118.369699
-24.452569,1000,119.185654
-41.569126,400,120.255062
-81.465026,413,120.59159
223.942337,408,120.884119
-45.173983,347,121.121588
-53.526249,472,121.52267
201.850253,453,122.66383
123.435501,789,123.681078
128.226809,750,124.419857
-74.455064,358,125.477589
187.898431,496,125.821983
234.34098,449,126.197109
201.43396,618,126.73561
180.43372,441,127.794621
228.53251,502,128.189586
-12.526398,344,128.415596
196.36888,535,128.846628
200.820786,535,129.333626
164.934714,558,130.608187
-50.896705,458,131.008574
180.164674,578,131.622595
-46.345649,320,131.85203
-59.076506,280,132.796572
102.195348,858,133.811083
-61.293524,244,133.955768
182.205397,591,134.401138
213.56903,492,135.589794
8.623099,1000,136.664643
134.63801,775,137.368636
222.152587,594,138.630755
-103.64607,567,139.060494
206.940305,432,139.38758
184.75869,634,140.746533
184.174703,492,141.201607
181.784772,689,141.975648
-39.182562,292,142.167635
187.502555,520,143.427581
181.137847,464,143.794766
175.261807,589,144.378635
159.894488,544,144.89065
-29.041399,321,145.096089
184.952293,455,146.210714
-74.1501,431,146.535597
182.837646,611,147.086609
224.570802,435,147.45413
198.949351,562,148.735069
148.721562,581,149.303492
192.61911,610,149.827608
-83.277594,480,150.27787
206.117853,531,151.557128
202.548262,501,151.936187
190.058008,526,152.417334
169.294247,807,154.116687
180.111213,534,154.610668
189.63399,567,155.178922
