#{"t_start": 1646494789.3622968, "env_id": "LunarLander-v2"}
r,l,t
-93.068652,95,6.658167
-144.152388,120,6.678113
-112.93375,102,6.699057
-167.031498,118,6.723992
-6.193508,83,6.739955
-276.338913,102,6.759899
-488.767296,120,6.782838
-107.069982,84,6.798796
-85.186185,62,6.810778
-79.023839,62,6.821734
-193.248335,109,6.841685
-41.731103,134,6.869615
-102.514368,74,6.883581
-216.585895,118,6.906513
-346.401926,93,6.923467
-75.573676,81,6.938427
-116.2738,77,6.951393
-137.621785,117,6.971339
-121.402557,131,6.998266
-194.510354,93,7.01622
-389.609937,85,7.031179
-100.493425,80,7.047137
29.31154,129,7.073072
-153.894772,93,7.092019
-164.36839,114,7.113961
-111.299919,69,7.12593
-269.826675,73,7.139892
-103.526905,77,7.156383
-125.067738,80,7.171864
-126.671258,95,7.188854
-538.774909,84,7.204804
-311.608972,118,7.228717
-360.427108,98,7.247692
-86.233874,72,7.259053
-318.875869,116,7.28199
-281.722138,76,7.295923
-100.326081,107,7.315896
-341.555236,81,7.33186
-150.719698,65,7.341831
-365.871284,110,7.364868
-326.674502,103,7.383817
-239.022104,78,7.39778
-52.032739,123,7.421746
-123.79677,92,7.438669
-118.471942,74,7.451635
-112.372385,105,7.470953
-118.698197,104,7.489868
-103.362704,64,7.503831
-195.712823,126,7.529762
-113.997775,104,7.548711
-136.72412,120,7.57116
-109.272407,66,7.585123
-87.891991,101,7.603074
-62.900603,62,7.617037
-95.721128,85,7.632994
-326.619934,91,7.649949
-475.10518,118,7.672888
-91.203927,101,7.69084
-343.937568,92,7.709789
-152.131781,73,7.725746
-80.393312,59,7.737714
-63.106605,68,7.751677
-135.1923,126,7.777607
-112.414934,59,7.789575
-549.336687,119,7.811517
-136.020186,99,7.828475
-68.969172,104,7.849416
-301.052821,124,7.873351
-210.37503,116,7.894295
-398.631205,105,7.91225
-96.662849,63,7.922221
-247.821509,71,7.936183
-117.445489,75,7.948152
-282.992164,72,7.960119
-266.028778,68,7.973085
-113.046015,111,7.997031
-175.503186,111,8.016967
-121.640496,88,8.032925
-147.572959,94,8.052872
-146.363657,76,8.067832
-152.28775,123,8.089772
-117.433998,139,8.116701
-287.449511,79,8.130697
-68.87945,64,8.142632
-62.160686,94,8.159587
-252.734,98,8.177539
-111.336954,95,8.195491
-294.376419,100,8.215438
-109.967873,140,8.241395
-307.926725,100,8.259347
-166.947479,65,8.270317
-98.73893,59,8.282261
-75.682701,95,8.30021
-152.712518,100,8.31916
-89.277559,59,8.329136
-328.941174,101,8.351075
-213.436659,70,8.36306
-174.955942,117,8.387009
-165.604638,105,8.407951
-103.205981,83,8.423879
-407.218916,85,8.439837
-91.820043,67,8.451805
-78.232868,61,8.462775
-149.989173,115,8.485714
-353.758151,75,8.498679
-93.356767,58,8.508652
-105.456352,83,8.522615
-262.9098,107,8.54356
-288.504064,91,8.560514
-227.004109,122,8.582488
-158.469045,100,8.599447
-100.182016,106,8.61936
-165.022395,72,8.631329
-117.778823,64,8.641332
-274.24073,115,8.663276
-106.419043,141,8.693163
-242.717776,108,8.713111
-200.677153,67,8.72408
-143.843941,85,8.73904
-123.300596,102,8.756992
-217.187154,101,8.774944
-80.371075,69,8.786912
19.056092,107,8.805861
-158.34617,113,8.826805
-128.823475,95,8.844758
-0.86769,72,8.856725
-150.474822,57,8.865702
-351.41382,130,8.89263
-379.544777,92,8.909584
-140.88182,74,8.921578
-256.377301,126,8.945493
-87.841365,83,8.960448
-243.879492,84,8.975888
-89.267049,83,8.990847
-281.770076,82,9.005808
-243.962348,67,9.017775
-240.458202,101,9.035756
